Triangulos,FPS,Texturas,Iluminacao
1000,43.4554,ON,ON
1000,10.4695,ON,ON
1000,60.7438,ON,ON
1000,15.2625,ON,ON
1000,60.8427,ON,ON
1000,60.759,ON,ON
1000,59.6721,ON,ON
1000,60.3457,ON,ON
1000,60.0943,ON,ON
1000,58.5896,ON,ON
1000,60.2443,ON,ON
1000,60.473,ON,ON
1000,60.6517,ON,ON
1000,59.9563,ON,ON
1000,60.1764,ON,ON
1000,58.5074,ON,ON
1000,60.5361,ON,ON
1000,60.9438,ON,ON
5000,60.4089,ON,ON
5000,59.8898,ON,ON
5000,59.8036,ON,ON
5000,60.3759,ON,ON
5000,60.2619,ON,ON
5000,59.0456,ON,ON
5000,60.278,ON,ON
5000,59.3801,ON,ON
5000,60.2592,ON,ON
5000,59.5298,ON,ON
5000,60.6224,ON,ON
5000,59.8491,ON,ON
5000,59.4671,ON,ON
5000,60.4632,ON,ON
5000,59.4761,ON,ON
5000,60.598,ON,ON
15000,56.896,ON,ON
15000,56.9001,ON,ON
15000,58.9256,ON,ON
12000,58.9648,ON,ON
10000,60.9485,ON,ON
10000,59.9911,ON,ON
10000,60.0926,ON,ON
10000,58.051,ON,ON
10000,59.4533,ON,ON
10000,59.162,ON,ON
10000,58.7729,ON,ON
10000,55.3093,ON,ON
10000,59.3991,ON,ON
10000,60.0081,ON,ON
10000,59.2929,ON,ON
20000,53.3703,ON,ON
20000,47.0324,ON,ON
20000,45.0003,ON,ON
20000,48.8986,ON,ON
20000,46.8536,ON,ON
20000,35.7304,ON,ON
20000,42.5029,ON,ON
20000,44.5365,ON,ON
20000,46.3851,ON,ON
20000,35.9037,ON,ON
20000,49.5395,ON,ON
20000,48.4593,ON,ON
30000,39.8159,ON,ON
30000,32.6731,ON,ON
30000,28.9112,ON,ON
30000,32.7051,ON,ON
30000,31.0061,ON,ON
30000,23.8883,ON,ON
30000,28.5472,ON,ON
30000,31.369,ON,ON
30000,28.8043,ON,ON
30000,29.7009,ON,ON
30000,33.3559,ON,ON
39000,31.3676,ON,ON
39000,26.8123,ON,ON
40000,26.6848,ON,ON
40000,24.4034,ON,ON
40000,21.5203,ON,ON
40000,18.2685,ON,ON
40000,23.9251,ON,ON
40000,23.2101,ON,ON
40000,22.4428,ON,ON
40000,23.1847,ON,ON
40000,20.6815,ON,ON
40000,22.5561,ON,ON
40000,22.6007,ON,ON
50000,24.2916,ON,ON
50000,20.9807,ON,ON
50000,19.2836,ON,ON
50000,21.0044,ON,ON
50000,20.0432,ON,ON
50000,20.1166,ON,ON
50000,13.9229,ON,ON
50000,12.3179,ON,ON
50000,17.6174,ON,ON
50000,18.2488,ON,ON
50000,18.3006,ON,ON
50000,18.4105,ON,ON
50000,15.6803,ON,ON
50000,16.3765,ON,ON
50000,17.9961,ON,ON
50000,18.6875,ON,ON
